MATERIAL NUMBER,Description,MT,MT+PVN
0001106014,STARTER,130.28,157.64
0001106016,STARTER,174.37,210.99
0001106017,STARTER,153.00,185.13
0001106018,STARTER,168.80,204.25
0001106019,STARTER,725.79,878.21
0001106022,STARTER,149.39,180.76
0001106023,STARTER,159.69,193.22
0001106024,STARTER,167.88,203.14
0001106405,STARTER,182.20,220.46
0001106407,STARTER,231.06,279.59
0001107007,STARTER,161.98,195.99
0001107020,STARTER,154.91,187.44
0001107022,STARTER,158.93,192.30
0001107024,STARTER,103.02,124.65
0001107038,STARTER,238.09,288.09
0001107039,STARTER,213.87,258.78
0001107046,STARTER,144.23,174.51
0001107047,STARTER,181.97,220.18
0001107058,STARTER,175.71,212.61
0001107060,STARTER,265.76,321.57
0001107062,STARTER,141.27,170.93
0001107063,STARTER,144.99,175.44
0001107064,STARTER,235.83,285.36
0001107067,STARTER,152.24,184.21
0001107068,STARTER,164.45,198.98
0001107070,STARTER,244.23,295.52
0001107073,STARTER,169.79,205.45
0001107075,STARTER,177.24,214.46
0001107076,STARTER,171.90,208.00
0001107078,STARTER,222.64,269.40
0001107079,STARTER,174.95,211.69
0001107082,STARTER,408.24,493.97
0001107085,STARTER,444.13,537.40
0001107090,STARTER,162.74,196.92
0001107093,STARTER,214.30,259.30
0001107098,STARTER,151.29,183.07
0001107103,STARTER,149.19,180.52
0001107107,STARTER,149.19,180.52
0001107108,STARTER,163.69,198.06
0001107110,STARTER,160.41,194.10
0001107401,STARTER,129.28,156.43
0001107402,STARTER,137.56,166.45
0001107403,STARTER,183.09,221.54
0001107406,STARTER,136.03,164.60
0001107421,STARTER,551.89,667.78
0001107423,STARTER,134.00,162.14
0001107427,STARTER,171.90,208.00
0001107430,STARTER,187.92,227.39
0001107431,STARTER,310.06,375.17
0001107433,STARTER,139.85,169.22
0001107435,STARTER,185.25,224.16
0001107436,STARTER,130.31,157.67
0001107437,STARTER,152.03,183.95
0001107438,STARTER,181.97,220.18
0001107440,STARTER,189.15,228.87
0001107442,STARTER,131.64,159.28
0001107446,STARTER,170.93,206.83
0001107448,STARTER,181.06,219.08
0001107456,STARTER,454.56,550.02
0001107459,STARTER,216.54,262.01
0001107461,STARTER,201.08,243.30
0001107476,STARTER,547.73,662.75
0001107478,STARTER,534.97,647.31
0001107490,STARTER,157.96,191.13
0001107492,STARTER,195.94,237.08
0001107499,STARTER,133.16,161.13
0001107508,STARTER,468.81,567.26
0001107525,STARTER,489.79,592.64
0001107527,STARTER,193.64,234.31
0001107534,STARTER,174.84,211.56
0001108021,STARTER,209.67,253.70
0001108026,STARTER,159.69,193.22
0001108063,STARTER,166.36,201.29
0001108064,STARTER,188.30,227.85
0001108088,STARTER,175.33,212.15
0001108101,STARTER,153.20,185.37
0001108111,STARTER,153.38,185.59
0001108113,STARTER,163.89,198.30
0001108121,STARTER,157.96,191.13
0001108131,STARTER,187.92,227.39
0001108141,STARTER,205.66,248.84
0001108147,STARTER,519.55,628.66
0001108151,STARTER,156.05,188.83
0001108155,STARTER,206.62,250.01
0001108158,STARTER,152.24,184.21
0001108166,STARTER,188.49,228.07
0001108167,STARTER,179.56,217.26
0001108169,STARTER,270.72,327.57
0001108170,STARTER,280.64,339.57
0001108173,STARTER,179.71,217.45
0001108176,STARTER,167.70,202.92
0001108178,STARTER,392.67,475.12
0001108180,STARTER,159.11,192.52
0001108182,STARTER,159.69,193.22
0001108184,STARTER,156.44,189.29
0001108186,STARTER,152.44,184.45
0001108189,STARTER,163.12,197.38
0001108196,STARTER,190.35,230.32
0001108197,STARTER,200.51,242.62
0001108199,STARTER,326.82,395.46
0001108203,STARTER,145.57,176.14
0001108204,STARTER,148.42,179.59
0001108208,STARTER,185.05,223.91
0001108211,STARTER,203.57,246.32
0001108213,STARTER,234.47,283.71
0001108217,STARTER,190.39,230.38
0001108220,STARTER,200.70,242.84
0001108222,STARTER,182.96,221.38
0001108225,STARTER,295.69,357.79
0001108230,STARTER,310.06,375.17
0001108237,STARTER,571.04,690.96
0001108239,STARTER,164.45,198.98
0001108241,STARTER,212.44,257.06
0001108400,STARTER,143.28,173.37
0001108402,STARTER,243.03,294.06
0001108403,STARTER,256.19,309.99
0001108405,STARTER,201.08,243.30
0001108411,STARTER,235.04,284.39
0001108420,STARTER,262.17,317.23
0001108428,STARTER,203.57,246.32
0001108430,STARTER,219.01,265.00
0001108441,STARTER,282.35,341.64
0001108444,STARTER,183.80,222.40
0001108456,STARTER,568.65,688.07
0001108460,STARTER,215.19,260.38
0001108462,STARTER,215.19,260.38
0001108466,STARTER,201.74,244.10
0001109011,STARTER,235.80,285.32
0001109012,STARTER,250.12,302.64
0001109017,STARTER,229.69,277.93
0001109018,STARTER,191.74,232.00
0001109025,STARTER,161.98,195.99
0001109026,STARTER,167.32,202.46
0001109028,STARTER,225.70,273.09
0001109031,STARTER,149.19,180.52
0001109033,STARTER,234.27,283.47
0001109035,STARTER,184.67,223.45
0001109040,STARTER,313.66,379.53
0001109041,STARTER,196.12,237.30
0001109042,STARTER,151.09,182.82
0001109043,STARTER,304.10,367.96
0001109046,STARTER,144.61,174.98
0001109047,STARTER,241.34,292.02
0001109049,STARTER,200.31,242.38
0001109057,STARTER,202.42,244.93
0001109058,STARTER,214.25,259.24
0001109063,STARTER,194.97,235.92
0001109064,STARTER,228.75,276.79
0001109066,STARTER,252.41,305.41
0001109068,STARTER,186.20,225.30
0001109200,STARTER,196.88,238.23
0001109202,STARTER,307.67,372.28
0001109203,STARTER,316.05,382.42
0001109250,STARTER,198.32,239.96
0001109252,STARTER,178.37,215.82
0001109258,STARTER,211.89,256.38
0001109260,STARTER,222.67,269.43
0001109264,STARTER,243.43,294.55
0001109265,STARTER,383.09,463.54
0001109267,STARTER,206.82,250.25
0001109270,STARTER,704.52,852.47
0001109273,STARTER,332.82,402.71
0001109284,STARTER,282.43,341.74
0001109300,STARTER,162.74,196.92
0001109302,STARTER,179.33,216.99
0001109306,STARTER,230.05,278.36
0001109310,STARTER,200.13,242.16
0001109313,STARTER,732.34,886.13
0001109324,STARTER,184.36,223.07
0001109328,STARTER,652.44,789.45
0001109330,STARTER,651.25,788.01
0001109334,STARTER,195.94,237.08
0001109336,STARTER,718.29,869.13
0001109344,STARTER,194.59,235.46
0001109355,STARTER,232.56,281.40
0001109357,STARTER,342.38,414.28
0001109359,STARTER,192.68,233.15
